budget,seats,body_type,priority,car_price,family_score,performance_score,city_score,luxury_score,offroad_score,safety_score,efficiency_score,chosen
3845503,5,Sedan,family,18500000,10,10,0,10,0,10,0,0
1253222,5,Hatchback,family,4400000,3,8,3,4,0,9,3,0
4487253,4,Hatchback,city,575000,10,10,10,10,0,10,10,1
1139717,4,Sedan,city,6400000,10,10,0,10,0,10,10,0
2526588,7,SUV,safety,4400000,7,8,0,8,6,10,0,0
1621676,4,SUV,performance,14500000,7,8,0,8,10,10,0,0
3561477,6,Sedan,family,7400000,7,8,0,6,4,10,0,0
4336493,6,SUV,city,5600000,7,8,0,6,6,10,0,0
2563046,7,Coupe,family,18500000,8,10,0,10,4,10,0,0
4606834,4,Sedan,safety,655000,10,10,10,10,0,10,10,1
1141142,6,SUV,city,1300000,10,10,3,10,10,10,10,0
978829,7,SUV,efficiency,1250000,10,10,3,10,6,10,10,0
2410603,4,SUV,luxury,1120000,10,10,0,10,6,10,10,1
2095239,6,Sedan,safety,8500000,7,8,0,8,0,10,0,0
807707,4,SUV,luxury,3650000,7,8,0,8,6,9,0,0
530427,5,SUV,efficiency,7500000,10,10,0,10,6,10,3,0
1174615,7,MPV,family,2570000,10,10,10,10,4,10,10,0
2956637,6,SUV,offroad,6900000,7,8,0,8,6,10,0,0
2196690,7,SUV,city,3750000,10,10,0,10,6,10,9,0
731190,7,Hatchback,luxury,730000,10,10,3,10,0,10,10,0
1792348,5,Coupe,safety,18500000,8,10,0,10,4,10,0,0
1009257,7,Hatchback,safety,660000,10,10,10,10,0,10,10,0
569433,6,SUV,safety,6700000,10,10,0,10,10,10,0,0
3978696,4,SUV,city,10200000,10,10,0,10,6,10,0,0
3767069,4,SUV,performance,1400000,3,6,0,0,6,1,3,0
2832481,4,SUV,city,9200000,7,8,0,8,10,10,0,0
4881852,7,MPV,offroad,3100000,10,8,0,10,0,10,0,0
2150250,7,SUV,family,1450000,10,10,7,10,6,10,5,0
1243871,5,Hatchback,family,560000,7,4,10,8,0,10,10,1
1259797,6,SUV,offroad,1595000,10,10,4,10,6,10,10,0
668003,7,Hatchback,city,730000,10,10,3,10,0,10,10,0
3575861,7,Convertible,city,9800000,4,8,0,6,0,10,0,0
3805287,4,Sedan,efficiency,30000000,4,8,0,8,4,10,0,0
3502266,7,Compact SUV,offroad,625000,10,10,6,10,4,10,10,0
2945546,7,Hatchback,offroad,4600000,3,8,3,4,0,9,3,0
1435442,7,SUV,safety,14000000,10,10,0,10,10,10,0,0
3631301,5,MPV,performance,3100000,10,8,0,10,0,10,0,1
3127420,7,SUV,offroad,1750000,10,10,0,10,6,10,0,0
4192913,5,Sedan,efficiency,7000000,10,10,8,10,0,10,10,0
4067082,5,Sedan,efficiency,7400000,7,8,0,6,4,10,0,0
1032547,5,Sedan,family,1220000,10,10,8,10,0,10,10,0
2697320,6,Sedan,efficiency,4950000,10,10,0,10,0,10,9,0
1500732,4,SUV,safety,10500000,7,8,0,8,10,10,0,0
2390891,4,SUV,family,1220000,10,10,0,10,6,10,10,1
3633817,6,Hatchback,offroad,750000,6,0,6,10,0,8,0,0
2298645,6,SUV,luxury,1120000,10,10,0,10,6,10,10,0
1096857,5,Crossover,safety,9500000,10,10,0,10,8,10,0,0
1774091,6,SUV,family,10000000,10,10,0,10,10,10,0,0
4242143,6,Crossover,safety,4750000,7,8,0,8,0,10,0,0
2425106,5,SUV,offroad,1750000,4,6,0,2,6,1,3,0
524380,4,MPV,family,1075000,10,10,0,10,4,10,10,0
4329798,7,Compact Sedan,luxury,1300000,9,8,7,10,0,10,5,0
691440,4,Compact Sedan,efficiency,750000,7,10,6,6,0,10,10,0
2852969,7,SUV,city,820000,10,10,3,10,6,10,10,0
4876427,6,Sedan,efficiency,1250000,10,10,0,10,0,10,10,0
1953092,5,Sedan,performance,5000000,10,10,0,10,0,10,6,0
504143,6,Sedan,offroad,18500000,10,10,0,10,0,10,0,0
4447499,7,SUV,efficiency,17800000,7,8,0,8,10,10,0,0
2481977,4,SUV,family,28500000,10,10,0,10,10,10,0,0
1862475,7,Sedan,city,30000000,4,8,0,8,4,10,0,0
1140551,6,Crossover,offroad,9500000,10,10,0,10,8,10,0,0
2949984,4,SUV,city,1550000,10,10,0,10,10,10,3,0
4572574,5,SUV,efficiency,1020000,10,10,0,10,6,10,10,1
4060989,6,SUV,city,17800000,7,8,0,8,10,10,0,0
4675655,5,SUV,performance,1035000,6,10,3,6,2,8,10,1
1756250,6,Sedan,city,21500000,7,8,0,8,4,10,0,0
1970351,5,SUV,safety,1750000,10,10,0,10,6,10,0,1
2534548,7,Micro SUV,performance,645000,10,10,10,10,4,10,10,0
547198,5,Sedan,safety,19000000,10,10,0,10,0,10,0,0
728031,5,Crossover,safety,770000,10,10,10,10,4,10,10,0
3157425,5,SUV,city,14200000,10,10,0,10,10,10,0,0
3072042,6,SUV,offroad,1200000,10,10,0,10,6,10,10,0
1762312,6,MPV,city,3100000,10,8,0,10,0,10,0,0
616148,4,SUV,efficiency,635000,10,10,6,10,6,10,10,0
4056862,5,SUV,luxury,10500000,7,8,0,8,10,10,0,0
1268767,7,SUV,offroad,7500000,10,10,0,10,6,10,3,0
3173371,4,Convertible,family,9800000,4,8,0,6,0,10,0,0
3267011,4,MPV,offroad,3100000,10,8,0,10,0,10,0,0
3409747,7,SUV,performance,7400000,10,10,0,10,10,10,6,0
1969421,6,SUV,efficiency,14000000,10,10,0,10,10,10,0,0
4734819,4,SUV,offroad,14000000,10,10,0,10,10,10,5,0
4934879,6,SUV,safety,10500000,10,10,0,10,10,10,0,0
4623674,4,SUV,family,5950000,10,10,0,10,6,10,9,0
1061813,6,Crossover,family,9500000,10,10,0,10,8,10,0,0
4436879,5,Coupe,performance,7700000,7,8,0,8,0,10,0,0
4910480,5,MPV,luxury,1205000,10,10,4,10,4,10,10,1
1627050,6,SUV,family,10500000,10,10,0,10,10,10,0,0
2839604,4,Hatchback,family,610000,10,10,6,10,4,10,10,1
1019000,5,Sedan,efficiency,6300000,10,10,0,10,0,10,9,0
2188256,7,Compact SUV,offroad,850000,10,10,10,10,4,10,10,0
2010826,7,Crossover,offroad,1350000,10,10,0,10,4,10,5,0
4840188,7,Hatchback,safety,590000,9,10,10,10,0,10,10,0
2947539,7,Sedan,luxury,18500000,10,10,0,10,0,10,0,0
4944512,6,SUV,offroad,1450000,10,10,0,10,6,10,10,0
2865576,4,Hatchback,luxury,4400000,3,8,3,4,0,9,3,0
4360466,6,Hatchback,safety,850000,10,6,6,10,0,10,5,0
2410998,5,SUV,safety,1850000,10,10,0,10,6,10,10,1
4580932,4,Hatchback,luxury,575000,10,10,10,10,0,10,10,1
1471257,6,Off-Road SUV,offroad,1600000,5,6,3,8,8,4,0,0
2413320,5,Micro SUV,safety,630000,10,10,10,10,4,10,10,1
3050425,4,Compact SUV,offroad,5600000,7,8,0,6,4,10,0,0
764651,6,MPV,safety,2025000,10,10,10,10,4,10,10,0
1418467,5,SUV,safety,1400000,10,10,0,10,6,10,10,1
1372008,4,SUV,efficiency,20000000,7,8,0,8,10,10,0,0
2752004,6,Compact SUV,family,5100000,10,10,0,10,0,10,9,0
3108384,5,SUV,offroad,3850000,10,10,0,10,6,10,0,0
4655876,4,SUV,efficiency,1599000,10,10,0,10,6,10,10,1
3058214,5,SUV,performance,3750000,10,10,0,10,6,10,9,0
3904506,5,Hatchback,offroad,725000,10,10,10,10,0,10,10,0
1211487,7,Compact SUV,luxury,5600000,7,8,0,6,4,10,0,0
4798203,6,SUV,safety,1200000,10,10,0,10,6,10,10,0
1800051,6,Sedan,luxury,6300000,10,10,0,10,0,10,9,0
3313456,5,Hatchback,family,850000,10,6,6,10,0,10,5,1
1371964,4,SUV,family,1020000,5,8,0,4,6,4,9,0
738610,7,Sedan,family,970000,10,10,0,10,0,10,10,0
4078066,4,Sedan,luxury,6550000,10,10,0,10,0,10,0,0
1216830,4,SUV,luxury,8300000,7,8,0,8,10,10,0,0
1447462,5,Sedan,efficiency,21500000,7,8,0,8,4,10,0,0
2269229,5,SUV,luxury,24000000,7,8,0,8,10,10,0,0
3380832,6,Sedan,efficiency,5000000,10,10,0,10,0,10,6,0
859544,6,Hatchback,city,4600000,3,8,3,4,0,9,3,0
3018385,6,Crossover,efficiency,9500000,10,10,0,10,8,10,0,0
2842503,6,Off-Road SUV,offroad,1180000,10,10,3,10,8,10,10,0
571795,5,Sedan,safety,21500000,7,8,0,8,4,10,0,0
1070732,4,SUV,city,10500000,7,8,0,8,10,10,0,0
3596615,5,SUV,family,1450000,10,10,0,10,6,10,10,1
4324216,4,SUV,performance,10500000,7,8,0,8,10,10,0,0
463641,6,SUV,efficiency,10800000,10,10,0,10,10,10,0,0
4687644,7,Coupe,safety,7700000,7,8,0,8,0,10,0,0
1325227,7,MPV,luxury,1070000,10,10,4,10,4,10,10,1
720622,5,Sedan,safety,17500000,10,10,0,10,0,10,0,0
2102567,7,Sedan,offroad,655000,10,10,10,10,0,10,10,0
1334617,5,SUV,offroad,10800000,10,10,0,10,10,10,0,0
2800698,7,MPV,efficiency,3100000,10,8,0,10,0,10,0,0
895265,4,MPV,family,1070000,10,10,4,10,4,10,10,0
2888611,7,Sedan,performance,18000000,10,10,0,10,0,10,3,0
2701941,7,Sedan,performance,6300000,10,10,0,10,0,10,9,0
2272462,5,Sedan,efficiency,7000000,10,10,8,10,0,10,10,0
1328187,5,Sedan,efficiency,5100000,7,8,4,8,0,10,5,0
2239234,4,SUV,city,20000000,7,8,0,8,10,10,0,0
4023115,4,SUV,luxury,1595000,10,10,4,10,6,10,10,1
982189,7,SUV,luxury,20000000,7,8,0,8,10,10,0,0
4463997,6,SUV,offroad,4300000,7,8,0,8,10,10,0,1
2794753,5,Coupe SUV,performance,6400000,7,8,0,6,4,10,0,0
1527773,7,Hatchback,family,435000,7,0,10,8,4,10,10,0
2471051,7,SUV,luxury,10500000,10,10,0,10,10,10,0,0
2139506,6,SUV,performance,7150000,7,8,0,8,10,10,0,0
1011357,7,SUV,city,27500000,7,8,0,8,10,10,0,0
4651668,4,Pickup,safety,3550000,10,10,0,8,8,10,0,1
2373497,4,SUV,performance,3950000,7,8,0,8,6,10,3,0
2578320,4,Pickup,family,2850000,10,10,0,10,8,10,0,0
3785118,6,SUV,offroad,2150000,10,10,0,10,2,10,0,0
4440111,7,Sedan,luxury,6300000,10,10,0,10,0,10,9,0
747977,4,Compact SUV,safety,750000,10,10,3,10,4,10,10,0
1384764,4,Sedan,city,17500000,10,10,0,10,0,10,0,0
2316904,5,Sedan,efficiency,6400000,10,10,0,10,0,10,10,0
922798,5,Micro SUV,family,630000,10,10,10,10,4,10,10,1
3429359,7,Coupe SUV,performance,11800000,10,10,0,10,8,10,0,0
1306072,6,SUV,efficiency,1164000,10,10,10,10,6,10,10,0
2080124,7,SUV,safety,17500000,7,8,0,8,10,10,0,0
3978836,4,Crossover,efficiency,770000,10,10,10,10,4,10,10,1
3911868,6,Sedan,offroad,8500000,7,8,0,8,0,10,0,0
1716723,7,SUV,luxury,1109000,10,10,0,10,6,10,10,0
2134506,5,SUV,performance,3800000,10,10,0,10,6,10,0,0
4733650,4,MPV,safety,3850000,10,10,0,10,4,10,6,1
4323586,6,Sedan,performance,7400000,7,8,0,6,4,10,0,0
483973,4,Micro SUV,performance,630000,10,10,10,10,4,10,10,0
2516129,4,SUV,luxury,145000000,7,8,0,8,10,10,0,0
4423594,5,SUV,performance,10200000,10,10,0,10,6,10,0,0
4619137,6,Coupe,offroad,18500000,8,10,0,10,4,10,0,0
2751845,6,SUV,offroad,2190000,7,8,0,6,6,9,0,0
2651733,5,Sedan,offroad,5100000,7,8,4,8,0,10,5,0
4961903,6,SUV,city,1599000,10,10,0,10,6,10,10,0
718232,6,Hatchback,offroad,410000,4,0,10,2,0,8,10,0
2801455,5,Sedan,performance,1149000,10,10,0,10,0,10,10,1
2075870,6,SUV,safety,24000000,7,8,0,8,10,10,0,0
3833707,7,SUV,family,1450000,10,10,0,10,6,10,10,0
2807336,7,SUV,family,1650000,10,10,0,10,6,10,10,1
634197,7,Compact SUV,efficiency,5100000,10,10,0,10,0,10,9,0
591122,4,SUV,luxury,820000,10,10,3,10,6,10,10,0
520312,5,Sedan,efficiency,19000000,10,10,0,10,0,10,0,0
2104477,6,SUV,offroad,1400000,10,10,0,10,6,10,10,0
2307579,5,MPV,offroad,3850000,10,10,0,10,4,10,6,0
3144509,6,Coupe SUV,performance,6400000,7,8,0,6,4,10,0,0
1298492,5,SUV,offroad,1200000,10,10,0,10,6,10,10,0
4657112,6,MPV,family,2025000,10,10,10,10,4,10,10,1
3666495,4,SUV,performance,2150000,10,10,0,10,2,10,0,1
3530417,4,Sedan,efficiency,6550000,10,10,0,10,0,10,0,0
3422301,6,SUV,luxury,1100000,10,10,7,10,6,10,10,0
2115770,5,SUV,luxury,1599000,10,10,0,10,6,10,10,1
1663222,7,Sedan,city,5500000,7,8,0,8,0,10,0,0
3246274,6,Sedan,safety,7000000,10,10,8,10,0,10,10,0
553578,4,SUV,safety,2050000,7,8,0,8,6,10,3,0
781563,4,SUV,luxury,1250000,10,10,3,10,6,10,10,0
2118966,6,Sedan,luxury,655000,10,10,10,10,0,10,10,0
4838319,5,SUV,efficiency,1450000,10,10,7,10,6,10,5,0
1248878,4,Compact Sedan,luxury,750000,7,10,6,6,0,10,10,0
4737956,4,MPV,family,2100000,10,10,0,10,0,10,3,1
3798184,4,Sedan,city,18000000,10,10,0,10,0,10,0,0
678196,6,Hatchback,offroad,4400000,3,8,3,4,0,9,3,0
4583885,4,Hatchback,safety,530000,7,4,6,8,4,6,10,0
3816940,7,MPV,safety,1070000,10,10,4,10,4,10,10,1
463199,4,SUV,safety,8500000,7,6,0,8,6,10,0,0
2176456,6,SUV,efficiency,1599000,10,10,0,10,6,10,10,0
1475393,7,SUV,performance,14200000,10,10,0,10,10,10,0,0
912098,7,SUV,efficiency,3750000,10,10,0,10,6,10,9,0
2181610,5,Sedan,family,4950000,6,8,0,4,0,9,0,0
2684620,7,Coupe SUV,family,1100000,10,10,0,10,4,10,10,0
611652,7,SUV,city,7500000,10,10,0,10,6,10,3,0
1352695,4,Compact Sedan,offroad,1300000,9,8,7,10,0,10,5,0
1630723,4,Sedan,city,18500000,10,10,0,10,0,10,0,0
2113230,4,SUV,offroad,635000,10,10,6,10,6,10,10,0
3027923,7,Coupe SUV,performance,22500000,7,8,0,8,8,10,0,0
1223619,6,Sedan,family,19000000,10,10,0,10,0,10,0,0
1583310,7,Compact SUV,city,625000,10,10,6,10,4,10,10,0
855861,5,Pickup,family,2850000,10,10,0,10,8,10,0,0
2389755,4,SUV,safety,8300000,7,8,0,8,10,10,0,0
2785396,7,Hatchback,safety,560000,7,4,10,8,0,10,10,0
1952312,4,Off-Road SUV,efficiency,1600000,5,6,3,8,8,4,0,0
2313963,5,Sedan,safety,4950000,6,8,0,4,0,9,0,0
1955262,7,SUV,performance,1750000,4,6,0,2,6,1,3,0
3044666,7,Sedan,luxury,7000000,10,10,8,10,0,10,10,0
1668088,5,Coupe SUV,luxury,6400000,7,8,0,6,4,10,0,0
1476140,7,Sedan,offroad,6400000,10,10,0,10,0,10,10,0
1815823,6,SUV,city,8500000,7,6,0,8,6,10,0,0
1292063,6,SUV,efficiency,10800000,10,10,0,10,10,10,0,0
4271022,5,SUV,efficiency,10200000,10,10,0,10,10,10,6,0
1357924,5,Crossover,safety,1350000,10,10,0,10,4,10,5,1
3915704,6,SUV,luxury,635000,10,10,6,10,6,10,10,0
448802,6,Hatchback,city,850000,10,6,6,10,0,10,5,0
1239358,6,Crossover,safety,4750000,7,8,0,8,0,10,0,0
1889840,5,SUV,safety,14000000,10,10,0,10,10,10,5,0
3975456,5,Off-Road SUV,efficiency,19500000,7,8,0,8,8,10,0,0
3053122,5,SUV,offroad,1450000,10,10,0,10,6,10,10,0
2639383,4,Coupe SUV,safety,6400000,7,8,0,6,4,10,0,0
4029307,5,SUV,offroad,3600000,7,8,0,8,10,10,0,1
2266249,6,Coupe SUV,offroad,1100000,10,10,0,10,4,10,10,0
2911294,5,Pickup,efficiency,2150000,6,6,0,2,4,9,0,0
1587185,7,Coupe SUV,city,5600000,7,8,0,6,4,9,0,0
407950,4,Crossover,efficiency,4750000,7,8,0,8,0,10,0,0
2959577,6,Compact SUV,city,4850000,10,10,0,10,4,10,0,0
1260904,7,SUV,performance,1950000,10,10,0,10,2,10,6,0
2336448,5,SUV,offroad,1109000,10,10,0,10,6,10,10,0
635956,7,SUV,offroad,7000000,7,8,0,8,10,10,0,0
1923408,4,SUV,efficiency,20000000,7,8,0,8,10,10,0,0
1899269,5,SUV,offroad,5050000,10,10,0,10,6,10,8,0
1662379,5,SUV,efficiency,1164000,10,10,10,10,6,10,10,1
3454918,6,Sedan,efficiency,1220000,10,10,8,10,0,10,10,0
4402105,4,Pickup,family,2150000,6,6,0,2,4,9,0,0
1803993,4,SUV,city,4400000,7,8,0,8,6,10,0,0
4075124,7,SUV,city,1020000,10,10,0,10,6,10,10,0
1628317,6,Hatchback,performance,5600000,3,6,3,4,0,9,0,0
2684473,5,Crossover,luxury,770000,10,10,10,10,4,10,10,1
2113156,4,Coupe SUV,family,22500000,7,8,0,8,8,10,0,0
1458766,7,SUV,luxury,1220000,10,10,0,10,6,10,10,0
4539026,6,SUV,city,10500000,7,8,0,8,10,10,0,0
3339033,6,Crossover,offroad,9500000,10,10,0,10,8,10,0,0
3982303,6,SUV,safety,3600000,7,8,0,8,10,10,0,1
2478642,5,Micro SUV,city,630000,10,10,10,10,4,10,10,1
2579356,5,Hatchback,safety,660000,10,10,10,10,0,10,10,1
2784944,7,SUV,safety,5050000,10,10,0,10,6,10,8,0
3612877,6,SUV,performance,3850000,10,10,0,10,6,10,0,0
1518664,6,SUV,safety,820000,10,10,3,10,6,10,10,0
1789972,7,MPV,family,3100000,10,8,0,10,0,10,0,0
721897,4,Coupe SUV,luxury,11800000,10,10,0,10,8,10,0,0
2983602,7,SUV,city,14500000,7,8,0,8,10,10,0,0
3385421,4,SUV,city,1120000,10,10,10,10,6,10,10,1
4394657,6,Sedan,safety,17500000,10,10,0,10,0,10,0,0
3673857,7,Sedan,safety,18000000,10,10,0,10,0,10,3,0
2484730,7,SUV,performance,2190000,7,8,0,6,6,9,0,1
3577312,4,SUV,family,3800000,10,10,0,10,6,10,0,0
4564834,6,SUV,offroad,1300000,10,10,3,10,10,10,10,0
1920341,7,MPV,offroad,675000,10,10,6,10,4,10,10,0
3894285,5,Compact SUV,luxury,625000,10,10,6,10,4,10,10,1
2180700,7,SUV,safety,3600000,7,8,0,8,10,10,0,0
647312,4,SUV,safety,1750000,10,10,0,10,6,10,0,0
4206571,6,Hatchback,performance,750000,6,0,6,10,0,8,0,0
4427979,5,Hatchback,family,620000,10,10,10,10,0,10,10,1
1365816,5,Off-Road SUV,safety,19500000,7,8,0,8,8,10,0,0
3130931,6,SUV,family,1200000,10,10,0,10,6,10,10,0
2254345,6,Compact SUV,city,850000,10,10,10,10,4,10,10,0
4969266,7,Hatchback,performance,730000,10,10,3,10,0,10,10,0
3204912,4,MPV,family,2025000,10,10,10,10,4,10,10,1
3094623,5,Pickup,safety,2850000,10,10,0,10,8,10,0,1
2860230,6,SUV,efficiency,1650000,10,10,0,10,6,10,10,1
3426219,6,Hatchback,performance,435000,7,0,10,8,4,10,10,0
1386032,5,SUV,offroad,10500000,10,10,0,10,10,10,0,0
3194860,7,SUV,city,32500000,4,8,0,8,10,10,0,0
3342509,4,Compact SUV,performance,5600000,7,8,0,6,4,10,0,0
832535,4,SUV,safety,1020000,10,10,0,10,6,10,10,0
848232,5,SUV,luxury,1250000,10,10,3,10,6,10,10,0
4475130,7,SUV,safety,1950000,10,10,0,10,2,10,6,0
1571998,4,Sedan,performance,4950000,6,8,0,4,0,9,0,0
2102355,7,Convertible,family,9800000,4,8,0,6,0,10,0,0
4682982,6,Hatchback,performance,575000,10,10,10,10,0,10,10,0
4911739,6,Sedan,city,22000000,7,8,0,8,0,10,3,0
4765160,4,SUV,performance,1120000,10,10,10,10,6,10,10,1
3807944,7,SUV,offroad,10200000,10,10,0,10,6,10,0,0
1380665,6,SUV,performance,7400000,10,10,0,10,10,10,6,0
2346464,6,Sedan,city,685000,10,10,10,10,0,10,10,0
4846044,5,SUV,efficiency,8300000,7,8,0,8,10,10,0,0
2002019,5,Sedan,luxury,6400000,10,10,0,10,0,10,10,0
4932242,4,Coupe,city,21000000,10,10,0,10,0,10,0,0
815516,5,SUV,luxury,14000000,10,10,0,10,10,10,0,0
1488896,7,SUV,family,9800000,10,10,0,10,10,10,3,0
4195980,6,SUV,performance,1550000,10,10,0,10,10,10,3,0
3831054,6,SUV,efficiency,5950000,10,10,0,10,6,10,9,0
3190508,7,SUV,safety,3850000,10,10,0,10,6,10,0,0
4562560,4,Compact SUV,luxury,850000,10,10,10,10,4,10,10,1
3241178,5,MPV,family,1070000,10,10,4,10,4,10,10,1
3677874,5,Crossover,family,4750000,7,8,0,8,0,10,0,0
894947,5,SUV,safety,1100000,10,10,7,10,6,10,10,0
4661764,5,Sedan,city,18000000,10,10,0,10,0,10,0,0
3831278,7,SUV,performance,14500000,7,8,0,8,10,10,0,0
3256872,7,Compact SUV,offroad,1180000,5,0,6,6,0,5,0,0
